,entity_id,name,category_code,status,country_code,first_investment_at,last_investment_at,investment_rounds,invested_companies,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,Average_inevstment_time
1,10,Flektor,games_video,1,USA,,,0,0,,,0,0,,,0,6,50.0
2,100,There,games_video,1,USA,,,0,0,,,0,0,01/02/2003,23/09/2011,4,12,50.0
13,1001,FriendFeed,web,1,USA,,,0,0,26/02/2008,26/02/2008,1,5000000,01/05/2008,13/09/2012,3,14,50.0
16,10012,moviestring.com,games_video,0,unknown,,,0,0,,,0,0,,,0,1,50.0
18,10014,Mobclix,mobile,1,USA,,,0,0,01/09/2008,01/09/2008,1,0,01/03/1995,18/09/2012,4,9,50.0
42,100265,Coastal Supply Company,unknown,1,unknown,,,0,0,,,0,0,01/01/1998,01/01/1998,1,1,50.0
56,1004,Tioti,games_video,1,USA,,,0,0,,,0,0,24/04/2008,17/09/2013,3,2,50.0
63,10049,INNCOM,hardware,1,USA,,,0,0,,,0,0,,,0,1,50.0
66,10054,Jumptap,mobile,1,USA,,,0,0,01/03/2005,02/07/2012,7,121500000,19/01/2012,13/08/2013,3,45,50.0
70,100589,Datum,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
72,1006,Youlicit,web,0,USA,,,0,0,01/01/2008,01/01/2008,1,0,,,0,5,50.0
75,10062,Workstir,web,0,USA,,,0,0,01/06/2009,01/06/2009,1,0,12/11/2008,01/04/2009,2,4,50.0
81,1007,Rupture,games_video,1,USA,,,0,0,01/07/2007,01/07/2007,1,3000000,01/09/2007,25/08/2012,2,6,50.0
82,100704,Cactus Commerce,unknown,1,CAN,,,0,0,,,0,0,,,0,0,50.0
89,100735,TelPlexus,unknown,1,USA,,,0,0,,,0,0,,,0,0,50.0
107,100840,RepliWeb,software,1,USA,,,0,0,,,0,0,,,0,0,50.0
110,100844,Attunity,software,1,USA,,,0,0,01/06/2004,21/09/2011,4,10500000,14/02/2012,14/02/2012,1,1,50.0
111,10085,Compaq,hardware,1,USA,01/09/1999,01/09/1999,1,1,,,0,0,01/01/2002,01/01/2002,1,91,0.0
120,10092,FairSoftware,web,0,USA,,,0,0,01/01/2007,01/01/2007,1,100000,16/01/2009,16/01/2009,1,1,50.0
124,100937,Toytown Germany,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
132,100991,Zerigo,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
133,101,SellABand,games_video,0,DEU,,,0,0,08/04/2008,08/04/2008,1,5000000,10/03/2008,10/05/2012,5,3,50.0
136,10104,Galaxy,software,0,USA,,,0,0,,,0,0,06/10/2013,06/10/2013,1,2,50.0
